SalmGenRowID,FishTagID,BestEstimate,Prob1,2ndBestEstimate,Prob2,Comments
1804,2019Ad_plus-F_046,F,0.99940002,,0,
1805,2019Ad_plus-F_047,F,0.99119997,,0,
1806,2019Ad_plus-F_048,F,0.950600028,LF,0.049400002,
1807,2019Ad_plus-F_049,F,0.999800026,,0,
1808,2019Ad_plus-F_050,F,0.998399973,,0,
1809,2019Ad_plus-F_051,F,0.999899983,,0,
1810,2019Ad_plus-F_052,F,0.999899983,,0,
1811,2019Ad_plus-F_053,F,0.940900028,LF,0.059099998,
1812,2019Ad_plus-F_054,F,0.985099971,LF,0.0149,
1813,2019Ad_plus-F_055,F,0.829699993,LF,0.170300007,
1814,2019Ad_plus-F_056,F,0.999899983,,0,
1815,2019Ad_plus-F_057,F,0.994300008,,0,
1816,2019Ad_plus-F_058,F,0.50150001,LF,0.498400003,
1817,2019Ad_plus-F_059,S,1,,0,
2027,2019Ad_plus-F_060,F,0.71450001,LF,0.28549999,
2028,2019Ad_plus-F_061,LF,0.944199979,F,0.055799998,
2029,2019Ad_plus-F_062,F,0.999599993,,0,
2030,2019Ad_plus-F_063,F,0.999899983,,0,
2031,2019Ad_plus-F_064,F,0.970000029,LF,0.029999999,
2032,2019Ad_plus-F_065,F,0.99879998,,0,
2033,2019Ad_plus-F_066,F,0.999899983,,0,
2034,2019Ad_plus-F_067,F,0.832000017,LF,0.167999998,
2035,2019Ad_plus-F_068,F,0.999199986,,0,
2036,2019Ad_plus-F_069,LF,0.983299971,F,0.0167,
2037,2019Ad_plus-F_070,F,0.994599998,,0,
2038,2019Ad_plus-F_071,F,1,,0,
2039,2019Ad_plus-F_072,F,0.963999987,LF,0.035999998,
2040,2019Ad_plus-F_073,F,0.999199986,,0,
2041,2019Ad_plus-F_074,LF,0.753700018,F,0.246299997,
2042,2019Ad_plus-F_075,F,0.750800014,LF,0.249200001,
2043,2019Ad_plus-F_076,F,0.996500015,,0,
2044,2019Ad_plus-F_077,F,0.999499977,,0,
2045,2019Ad_plus-F_078,F,0.786800027,LF,0.213200003,
2046,2019Ad_plus-F_079,LF,0.948400021,F,0.051600002,
2047,2019Ad_plus-F_080,F,0.999899983,,0,
2048,2019Ad_plus-F_081,F,0.992900014,,0,
2049,2019Ad_plus-F_082,LF,0.989700019,F,0.0103,
2050,2019Ad_plus-F_083,F,0.998899996,,0,
2051,2019Ad_plus-F_084,F,0.999899983,,0,
2052,2019Ad_plus-F_085,F,0.994400024,,0,
2053,2019Ad_plus-F_086,F,0.998099983,,0,
2054,2019Ad_plus-F_087,F,1,,0,
2055,2019Ad_plus-F_088,F,1,,0,
2056,2019Ad_plus-F_089,F,0.974699974,S,0.0198,Spring run from Deer Creek
2057,2019Ad_plus-F_090,LF,0.875400007,F,0.124600001,
2058,2019Ad_plus-F_091,F,0.997300029,,0,
2059,2019Ad_plus-F_092,F,0.99970001,,0,
2060,2019Ad_plus-F_093,F,0.999899983,,0,
2061,2019Ad_plus-F_094,F,0.899800003,LF,0.100199997,
1879,2019Ad_plus-F_095,F,0.994000018,,0,
1921,2019Ad_plus-F_096,LF,0.970799983,F,0.029200001,
